#{"t_start": 1776408462.23993, "env_id": "None"}
r,l,t
1153.1425,121,110.352547
928.7343,117,110.532526
912.6748,93,110.618809
1180.7085,128,110.717537
2036.6285,500,110.84123
1639.1912,234,111.235484
1447.0486,150,112.046204
1169.7233,126,112.362247
907.69165,112,113.216267
1173.0198,126,113.373105
1204.3046,126,113.756638
1992.6792,500,114.555839
1468.2911,154,115.675995
901.00586,112,115.855019
2515.6052,500,117.637101
1530.5988,277,117.820174
898.9664,115,118.568625
2051.2915,393,118.937141
1438.9181,147,119.150701
2213.4568,500,120.044562
1845.814,500,122.000546
2047.8109,500,122.190251
1458.9658,150,122.212574
1472.2906,201,123.023889
2056.7905,500,123.412498
1897.4243,283,123.689029
2079.145,500,124.283857
2080.7207,500,124.59316
1448.7654,151,125.300168
1934.1697,500,125.384063
1188.0376,183,125.752823
1143.1469,119,126.832149
1199.0608,125,127.251463
2513.6558,500,128.033182
1452.2198,151,128.370091
1681.4762,233,128.523208
1941.7235,500,128.870363
1131.9724,116,129.191216
1177.5746,181,129.488931
1690.5044,298,129.626162
1178.9705,122,129.786944
2180.388,500,130.326918
2091.5552,398,131.360644
921.2999,91,131.470202
1419.6084,145,131.515009
1168.614,118,131.750055
1153.8992,120,132.200299
1168.8585,119,132.319409
2070.785,500,132.589067
943.11096,209,132.967205
912.213,91,133.341018
1231.962,125,133.940094
1166.0348,119,134.187143
1432.6879,150,134.629298
1137.0981,118,134.648854
1176.4814,121,134.824708
933.35876,95,135.288667
1997.4996,500,135.770999
1223.4341,123,136.637081
1161.6322,121,136.911913
1149.7611,121,137.469313
915.81854,94,137.626519
1187.7953,124,137.799145
1672.0392,216,137.871789
1416.9208,146,138.111802
2588.1782,500,139.247098
2037.9457,500,140.281219
1161.0846,122,140.722993
1191.606,126,141.117814
1426.911,146,141.997545
2201.659,500,142.097286
1682.8688,214,143.587274
1191.4231,123,144.440854
2058.5056,500,144.954123
1861.3219,319,145.167503
1416.537,147,145.966493
968.64764,119,147.721652
2155.4922,500,148.441238
1688.3561,217,148.627594
1412.4039,144,148.937912
2176.767,500,149.293102
1883.0199,500,149.838163
960.2979,116,150.018269
2672.9792,500,151.049975
1968.0531,500,151.849603
1412.5498,148,151.909679
2183.3464,500,152.180136
1136.0282,192,152.293166
957.3105,114,152.31212
984.4229,200,152.635348
2284.359,500,153.208521
856.7042,103,153.9377
958.9855,114,154.626179
1408.424,143,154.813544
2170.7334,500,155.015384
1996.094,500,155.573831
1747.1974,365,157.319484
1139.9197,132,157.401301
1868.6047,230,157.421385
1225.0737,125,157.642974
1503.4994,153,158.039982
1682.554,294,158.26047
2264.7646,482,159.205164
1009.6833,100,159.427177
1350.53,136,160.536071
1321.9215,133,161.155566
1555.8431,158,161.465962
2617.4578,500,161.534071
1186.4989,119,161.857824
1855.9672,309,162.234859
1848.5477,229,162.408977
2031.9536,500,162.912086
1349.6967,136,163.609953
2418.6077,500,163.998157
1317.435,133,164.18694
1251.0869,126,164.784603
2032.7827,500,164.860381
1557.2643,158,165.158919
1304.0529,133,165.373174
1580.8848,283,165.992862
1359.7803,137,166.996405
1336.3325,136,167.598363
1255.0226,126,167.948295
1877.0984,229,167.989731
1289.943,131,168.623547
1070.2947,108,168.645806
2291.2017,500,168.971927
1566.7318,159,169.106902
2402.961,318,169.207346
1204.9164,121,170.92159
475.9258,123,171.020828
1068.981,107,171.308279
1238.7898,142,172.480056
2232.2524,500,175.061022
1864.711,252,175.150007
1206.3976,139,175.684588
1856.8029,311,176.066006
2516.6658,500,176.103664
1902.9325,243,176.704327
2041.029,500,176.906598
2487.1235,335,177.135147
1522.0052,155,178.746888
2290.896,500,178.934132
1246.6503,143,179.019948
2257.7795,500,179.466628
1125.1659,130,179.968153
1884.259,240,182.436829
1537.2719,157,182.529487
1260.2535,146,182.553182
2221.4556,500,182.737153
1353.0586,138,182.802221
2049.0796,500,183.099315
1185.5638,138,183.286347
1851.7942,315,183.515809
1647.1832,235,184.473993
468.6504,115,185.055855
2482.8652,337,185.077882
1082.3595,108,185.549377
1335.8258,135,185.872987
1583.4368,162,186.213006
2236.0833,500,186.71022
1516.5447,220,187.738256
2450.239,500,187.76187
1120.0806,113,188.127265
1327.3832,134,188.911116
1649.5847,235,189.825812
1571.5679,160,189.849391
1067.5208,105,190.488637
1913.8245,246,190.623868
1872.2982,321,190.783767
1365.8091,137,191.998749
2424.258,326,192.543873
1486.4072,217,192.76042
1326.6405,134,192.983152
1073.7769,106,193.021905
1527.0469,155,193.551216
1299.7699,132,194.060982
2173.6982,500,194.193125
1994.2113,500,195.014479
2242.5771,352,195.105062
1400.1102,141,195.697281
1084.2451,107,195.836986
1259.2706,127,196.082091
1366.6978,138,196.621302
1961.0494,262,197.310939
1279.9099,130,197.491804
1542.3009,157,197.710702
1179.9823,139,198.706507
1088.6285,108,198.706507
1328.699,134,199.277109
1215.0469,123,199.352851
2347.818,500,200.199472
1372.5759,139,200.24466
1295.3347,132,200.918416
1111.7565,112,201.60116
1517.2252,154,201.711138
1256.9547,127,202.562879
1354.1324,137,202.722326
1420.9551,144,203.763391
1956.742,262,203.879169
1307.9934,133,204.096045
2260.9785,358,204.165309
1103.2885,110,204.165309
2980.4822,500,205.146098
